term,NB1_unit_meanSpace,NB1_unit_minSpace,NB1_unit_hyd,NB1_unit_hyd_min_mean,NB1_pop_hyd_min_mean,NB1_bothdens_hyd,NB1_pop_hyd
(Intercept),-5.101 (1.741)**,-5.668 (1.491)***,-5.766 (1.468)***,-4.717 (1.717)**,-5.617 (1.764)**,-6.010 (1.457)***,-6.053 (1.510)***
hyd_count,-,-,-0.004 (0.003),-0.005 (0.003),-0.001 (0.004),-0.002 (0.003),-0.002 (0.003)
min_space,-,0.000 (0.000),-,-0.000 (0.001),0.000 (0.001),-,-
mean_space,-0.000 (0.000),-,-,-0.000 (0.000),-0.000 (0.000),-,-
inc_log,0.028 (0.128),0.053 (0.118),0.088 (0.119),0.043 (0.127),0.024 (0.130),0.066 (0.117),0.059 (0.121)
I(log(pop_dens_mi)),-,-,-,-,0.904 (0.049)***,0.609 (0.125)***,0.918 (0.032)***
I(log(unit_dens_mi)),0.949 (0.046)***,0.968 (0.032)***,0.958 (0.032)***,0.914 (0.049)***,-,0.334 (0.129)**,-
AIC,464.17,464.14,462.82,465.48,461.75,450.74,458.43
BIC,478.06,478.03,476.71,484.94,481.20,467.41,472.33
logLik,-227.08,-227.07,-226.41,-225.74,-223.88,-219.37,-224.22
phi,1.347,1.373,1.337,1.312,1.284,1.183,1.257
KS_D,0.098,0.101,0.104,0.074,0.085,0.105,0.090
KS_p,0.205,0.179,0.155,0.531,0.358,0.143,0.295
Disp,0.979,0.972,0.965,0.968,1.030,0.927,1.049
Disp_p,0.904,0.896,0.816,0.832,0.808,0.608,0.768
ZI_p,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ZI_Wald_p,-,-,-,-,-,-,-
R2_McF,0.315,0.315,0.317,0.319,0.324,0.338,0.323
R2_Nag,0.830,0.830,0.832,0.834,0.839,0.851,0.838
